,Symbol
303,[LiHexpl]
304,[Liexpl]
305,[Mg+2expl]
306,[Mg+expl]
307,[Mgexpl]
308,[Mnexpl]
309,[Moexpl]
310,[N+expl]
311,[N-expl]
312,[N@+expl]
313,[N@@+expl]
314,[N@@expl]
315,[NH+expl]
316,[NH-expl]
317,[NH2+expl]
318,[NH2-expl]
319,[NH2expl]
320,[NH3+expl]
321,[NH4+expl]
322,[NHexpl]
323,[N]
324,[NaHexpl]
325,[Naexpl]
326,[Nbexpl]
327,[Nexpl]
328,[Niexpl]
329,[O+expl]
330,[O-expl]
331,[OH+expl]
332,[OH-expl]
333,[OH2+expl]
334,[OH3+expl]
335,[OHexpl]
336,[O]
337,[Oexpl]
338,[P+expl]
339,[P-2expl]
340,[P-expl]
341,[P@@Hexpl]
342,[P@@expl]
343,[P@expl]
344,[PH+expl]
345,[PH-expl]
346,[PH2+2expl]
347,[PH2+expl]
348,[PH2expl]
349,[PH3+expl]
350,[PH3expl]
351,[PH4expl]
352,[PHexpl]
353,[P]
354,[Pbexpl]
355,[Pd-2expl]
356,[Pdexpl]
357,[Pt+2expl]
358,[Pt+4expl]
359,[Pt-2expl]
360,[PtH+2expl]
361,[PtH2+2expl]
362,[PtH2expl]
363,[PtHexpl]
364,[Ptexpl]
365,[Reexpl]
366,[Rhexpl]
367,[Ring1]
368,[Ring2]
369,[Ru+2expl]
370,[Ru+expl]
371,[Ru-2expl]
372,[Ru-expl]
373,[Ruexpl]
374,[S+expl]
375,[S-expl]
376,[S@+expl]
377,[S@@+expl]
378,[S@@expl]
379,[S@expl]
380,[SH+expl]
381,[SH-expl]
382,[SH2+expl]
383,[SH2expl]
384,[SHexpl]
385,[S]
386,[Sb-expl]
387,[Sbexpl]
388,[Se-expl]
389,[SeHexpl]
390,[Seexpl]
391,[Sexpl]
392,[Si-expl]
393,[Si@Hexpl]
394,[Si@expl]
395,[SiH2expl]
396,[SiH3expl]
397,[SiH4expl]
398,[SiHexpl]
399,[Siexpl]
400,[Sn+2expl]
401,[Sn+3expl]
402,[SnH2expl]
403,[SnH3expl]
404,[SnHexpl]
405,[Snexpl]
406,[Srexpl]
407,[Taexpl]
408,[Te+expl]
409,[Te-expl]
410,[TeHexpl]
411,[Teexpl]
412,[Ti+2expl]
413,[Tiexpl]
414,[TlH2expl]
415,[TlH3expl]
416,[Tlexpl]
417,[Vexpl]
418,[W+2expl]
419,[Wexpl]
420,[XeHexpl]
421,[Zn+2expl]
422,[Zn+expl]
423,[ZnH2expl]
424,[ZnHexpl]
425,[Znexpl]
426,[Zr+2expl]
427,[Zrexpl]
428,[\13CH2expl]
429,[\2Hexpl]
430,[\B]
431,[\Br]
432,[\C-expl]
433,[\C@@Hexpl]
434,[\C@@expl]
435,[\C@Hexpl]
436,[\C@expl]
437,[\CH-expl]
438,[\C]
439,[\Cexpl]
440,[\Cl]
441,[\Cuexpl]
442,[\F]
443,[\I]
444,[\N+expl]
445,[\N-expl]
446,[\NH2+expl]
447,[\NHexpl]
448,[\N]
449,[\O-expl]
450,[\O]
451,[\P]
452,[\S-expl]
453,[\S@expl]
454,[\SH2expl]
455,[\SH3expl]
456,[\SHexpl]
457,[\S]
458,[\Seexpl]
459,[\SiH2expl]
460,[\Siexpl]
461,[\Teexpl]
462,[Unknown]
